Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 ЗАО,Мичуринский проспект,4,2,Sminex-Интеко,«Вестердам»,Комфорт,квартира,11,27,Неизвестно,1,45.2,,,Монолитный,"Подземная, гостевая",2022,17 230 000
 ЗАО,Лужники,3,3,MR Group,«Hide («Хайд»)»,Премиум,Студия,6,41,Предчистовая,,32.1,,,Монолитно-кирпичный,"Подземная, гостевая",2023,20 527 661
 ЗАО,,,0,Sezar Group,«Клубный дом Full House»,Бизнес,квартира,7,25,Без отделки,1,44.8,14.9,16.0,Монолитно-кирпичный,"Подземная, гостевая",2024,20 885 760
 ЗАО,Кунцевская,5,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,5,9,Неизвестно,3,77.3,49.4,10.0,Монолитный,"Подземная, гостевая",2022,22 030 500
 САО,Беговая,6,3,Э.К. Девелопмент,«Авиатика»,Комфорт,квартира,23,25,Чистовая,2,62.7,,,Панельный,Подземная,2022,26 145 900
 СВАО,Балтийская,14,2,ГК Основа,«VERY (Вери)»,Бизнес,квартира,2,31,Черновая,3,63.3,51.1,7.2,Монолитно-кирпичный,"Подземная, гостевая",2024,27 124 050
 НАО (Новомосковский),Улица Горчакова,6,3,,«Дзен-кварталы»,,квартира,6,10,Без отделки,2,38.7,11.6,17.0,,,2024,8 955 532
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,квартира,7,8,Без отделки,3,60.0,23.8,18.2,,,2024,10 917 277
 НАО (Новомосковский),Ольховая,11,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,2,14,Чистовая,3,73.3,54.4,,Монолитный,"Подземная, гостевая",2025,13 025 410
 ЮЗАО,Бульвар Адмирала Ушакова,4,3,А101,«Южные сады»,Комфорт,квартира,17,21,Без отделки,3,69.6,35.7,14.9,Монолитный,"Подземная, гостевая",2023,16 925 003
 САО,Водный стадион,3,3,РГ-Девелопмент,«Михалковский»,Комфорт,квартира,17,20,Без отделки,2,66.8,30.9,12.6,Монолитный,Подземная,2023,21 563 040
 СЗАО,Стрешнево,11,2,Мангазея,«Интонация»,Бизнес,квартира,12,21,Без отделки,1,48.6,17.2,15.9,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,21 733 920
 ЗАО,Фили,7,3,VOS’HOD,«AHEAD»,Премиум,Апартаменты-студия,9,17,Предчистовая,,39.0,,,Монолитно-кирпичный,Подземная,2024,22 202 700
 СВАО,Отрадное,3,3,,«Апарт-комплекс Легендарный квартал»,,апартаменты,12,18,Без отделки,3,74.4,44.7,13.0,,,2023,23 363 501
 ЮАО,Серпуховская,16,3,MR Group,«Павелецкая сити»,Бизнес,квартира,9,9,Предчистовая,1,39.3,11.6,,Монолитный,"Подземная, гостевая",2023,26 023 373
 СЗАО,Октябрьское поле,3,3,РГ-Девелопмент,«Октябрьское поле»,Комфорт,квартира,2,27,Неизвестно,2,49.5,24.7,10.5,"Панельный, монолитный","Подземная, гостевая",2024,15 790 500
 НАО (Новомосковский),Ольховая,14,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,7,14,Чистовая,3,76.0,53.3,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,16 988 736
 НАО (Новомосковский),Филатов Луг,4,3,,,,квартира,2,16,Без отделки,2,68.2,14.4,20.8,,,2022,18 693 032
 САО,Хорошёво,3,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,апартаменты,13,22,Без отделки,3,71.2,32.7,,Монолитный,"Подземная, гостевая",2023,20 865 160
 ЮЗАО,Академическая,4,3,TEKTA GROUP,«Eniteo (Энитео)»,Бизнес,квартира,30,42,Без отделки,2,42.1,,,Монолитный,"Подземная, гостевая",2023,21 862 530
,,,0,,,,,,,,,,,,,,,
 СЗАО,Тушинская,5,3,"ООО ""СЗ ""Стадион ""Спартак""",«Клубный город на реке Primavera (Примавера)»,Премиум,квартира,2,22,Черновая,1,54.4,14.6,12.0,Монолитный,"Подземная, гостевая",2025,27 085 760
 ЦАО,Октябрьская,1,3,GRAVION,«CULT (Апартаменты премиум-класса) (Культ)»,Премиум,Апартаменты-студия,2,9,Чистовая,,32.7,,,Монолитно-кирпичный,Подземная,2023,34 227 313
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,квартира,2,16,Без отделки,3,55.6,32.5,8.5,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,7 652 645
 САО,Красный Балтиец,4,3,,«SOUL (Соул)»,,Студия,13,20,Предчистовая,,24.4,13.3,2.3,,,2025,13 236 926
 ВАО,Бульвар Рокоссовского,4,3,3SGroup,«Талисман на Рокоссовского»,Бизнес,квартира,23,29,Без отделки,2,43.58,26.4,5.6,Монолитно-кирпичный,"Подземная, гостевая",2023,14 599 300
 СВАО,Достоевская,4,3,MR Group,«Mod (Мод)»,Премиум,квартира,27,44,Предчистовая,1,40.96,,,Монолитно-кирпичный,"Подземная, гостевая",2024,18 001 920
,,,0,,,,,,,,,,,,,,,
 ЮВАО,Люблино,3,2,Forma,«Portland (Портленд)»,Бизнес,квартира,2,29,Предчистовая,1,40.5,11.5,13.2,Монолитный,"Подземная, гостевая",2025,19 230 858
 ЮЗАО,Ленинский проспект,13,3,Hutton Development,«Lunar (Лунар)»,Премиум,Апартаменты-студия,5,8,Чистовая,,33.47,4.4,21.7,"Монолитно-кирпичный, монолитный",Подземная,2023,20 000 000
 ЦАО,Краснопресненская,3,3,Forma,«Republic (Репаблик)»,Премиум,Студия,4,26,Предчистовая,,26.86,13.8,6.1,Монолитный,"Подземная, гостевая",2025,22 615 475
 СВАО,ВДНХ,4,3,Группа Эталон,«Серебряный фонтан»,Бизнес,квартира,14,19,Черновая,1,50.3,16.6,18.8,Монолитно-кирпичный,"Подземная, гостевая",2022,30 280 484
 ЮВАО,Пролетарская,4,3,Колди (Coldy),«N’ice Loft»,Бизнес,апартаменты,2,21,Без отделки,2,43.28,,,Монолитно-кирпичный,Подземная,2024,12 334 800
 ЮАО,Шаболовская,4,3,СЗ Логос,«Logos (Логос)»,Премиум,Апартаменты-студия,8,13,Предчистовая,,26.6,14.4,4.3,Монолитно-кирпичный,Подземная,2024,14 604 855
 СЗАО,Тестовская,4,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,6,6,Без отделки,1,31.1,13.6,10.2,"Монолитно-кирпичный, монолитный",Подземная,2023,15 834 210
 ЮАО,Пролетарская,4,3,TEKTA GROUP,«Era (Эра)»,Премиум,квартира,2,27,Без отделки,2,40.5,,,Монолитный,Подземная,2026,16 714 350
 СВАО,Бабушкинская,5,3,ГК ФСК,«The Lake (Лейк)»,Бизнес,квартира,2,10,Предчистовая,1,43.9,13.9,,Монолитно-кирпичный,"Подземная, гостевая",2025,20 444 230
 ЮЗАО,Академическая,1,3,Level Group,«Level Академическая»,Бизнес,квартира,3,19,Без отделки,2,46.6,11.9,22.1,Монолитный,Гостевая,2025,24 045 409
 ЗАО,,,0,Ташир,«Legacy (Легаси)»,Премиум,квартира,2,17,Неизвестно,2,45.0,27.6,5.5,Монолитный,"Подземная, гостевая",2024,24 750 000
 СВАО,Рижская,3,3,СИТИ21,«Hill8 (Хилл8)»,Премиум,апартаменты,5,15,Неизвестно,1,61.7,,,Монолитный,"Подземная, гостевая",2021,26 186 161
 НАО (Новомосковский),Тропарёво,5,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,апартаменты,9,15,Чистовая,2,40.2,24.0,6.0,"Монолитно-кирпичный, монолитный",Гостевая,2025,10 383 488
 СЗАО,Спартак,4,3,Level Group,«Апартаментный комплекс Level Стрешнево (Левел Стрешнево)»,Бизнес,апартаменты,11,24,Без отделки,2,45.1,12.3,20.2,Монолитный,"Подземная, гостевая",2024,11 506 200
 ЮВАО,Дубровка,3,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,24,24,Без отделки,1,33.2,15.0,9.9,Монолитный,Подземная,2025,11 568 981
 ЮВАО,Люблино,3,2,Forma,«Portland (Портленд)»,Бизнес,Студия,11,22,Без отделки,,25.4,12.6,4.8,Монолитный,"Подземная, гостевая",2025,11 997 283
 СЗАО,Тестовская,4,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,Студия,3,6,Без отделки,,18.2,9.4,2.6,"Монолитно-кирпичный, монолитный",Подземная,2023,12 306 357
 ЮАО,Коломенская,2,3,Level Group,«Level Нагатинская (Левел Нагатинская)»,Бизнес,квартира,13,26,Без отделки,1,33.9,10.0,12.4,Монолитный,"Подземная, гостевая",2023,13 419 897
 ЮАО,Серпуховская,17,3,MR Group,«Павелецкая сити»,Бизнес,Студия,5,28,Предчистовая,,23.8,2.6,16.2,Монолитный,"Подземная, гостевая",2024,14 376 937
 САО,Гражданская,10,3,РГ-Девелопмент,«Петровский парк II»,Бизнес,квартира,2,17,Без отделки,2,42.5,23.1,7.5,Монолитный,Подземная,2025,14 790 000
 ЮАО,Коломенская,5,3,Группа Эталон,«Shagal (Шагал)»,Бизнес,квартира,3,14,Без отделки,1,40.3,,,"Монолитно-кирпичный, монолитный",Подземная,2025,15 176 480
 ЗАО,Мичуринский проспект,16,2,ДОНСТРОЙ,«Событие»,Бизнес,Студия,13,26,Без отделки,,28.3,10.0,9.1,Монолитный,"Подземная, гостевая",2024,15 870 640
 ЮАО,Коломенская,5,3,TEKTA GROUP,«Квартал на набережной NOW»,Бизнес,квартира,5,20,Без отделки,1,36.9,,,Монолитно-кирпичный,"Подземная, гостевая",2023,20 080 980
 СЗАО,Мнёвники,4,3,,«Wellton Gold (Веллтон Голд)»,,апартаменты,17,21,Без отделки,2,70.8,,18.1,,,2022,20 461 200
 ЮАО,Коломенская,2,3,Level Group,«Level Нагатинская (Левел Нагатинская)»,Бизнес,Студия,8,26,Без отделки,,20.7,9.6,3.3,Монолитный,"Подземная, гостевая",2023,8 845 899
 ЮВАО,Угрешская,2,3,Level Group,«Level Южнопортовая»,Комфорт,Студия,3,18,Без отделки,,24.2,12.0,3.4,Монолитный,Подземная,2025,8 996 492
 САО,Селигерская,11,3,MR Group,«Селигер Сити»,Бизнес,квартира,32,39,Без отделки,1,35.21,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026,10 966 876
