Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 САО,Беговая,6.0,3,Э.К. Девелопмент,«Авиатика»,Комфорт,квартира,23.0,25.0,Чистовая,2.0,62.7,20.333629300776895,11.724697336561748,Панельный,Подземная,2022.0,26145900,417000.0
 СВАО,Балтийская,14.0,2,ГК Основа,«VERY (Вери)»,Бизнес,квартира,2.0,31.0,Черновая,3.0,63.3,51.1,7.2,Монолитно-кирпичный,"Подземная, гостевая",2024.0,27124050,428500.0
 НАО (Новомосковский),Улица Горчакова,6.0,3,,«Дзен-кварталы»,,квартира,6.0,10.0,Без отделки,2.0,38.7,11.6,17.0,,,2024.0,8955532,231409.09560723513
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,квартира,7.0,8.0,Без отделки,3.0,60.0,23.8,18.2,,,2024.0,10917277,181954.61666666667
 НАО (Новомосковский),Ольховая,11.0,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,2.0,14.0,Чистовая,3.0,73.3,54.4,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,13025410,177700.0
 ЮЗАО,Бульвар Адмирала Ушакова,4.0,3,А101,«Южные сады»,Комфорт,квартира,17.0,21.0,Без отделки,3.0,69.6,35.7,14.9,Монолитный,"Подземная, гостевая",2023.0,16925003,243175.33045977014
 САО,Водный стадион,3.0,3,РГ-Девелопмент,«Михалковский»,Комфорт,квартира,17.0,20.0,Без отделки,2.0,66.8,30.9,12.6,Монолитный,Подземная,2023.0,21563040,322800.0
 СЗАО,Стрешнево,11.0,2,Мангазея,«Интонация»,Бизнес,квартира,12.0,21.0,Без отделки,1.0,48.6,17.2,15.9,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,21733920,447200.0
 ЗАО,Фили,7.0,3,VOS’HOD,«AHEAD»,Премиум,Апартаменты-студия,9.0,17.0,Предчистовая,2.0,39.0,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2024.0,22202700,569300.0
 СВАО,Отрадное,3.0,3,,«Апарт-комплекс Легендарный квартал»,,апартаменты,12.0,18.0,Без отделки,3.0,74.4,44.7,13.0,,,2023.0,23363501,314025.55107526877
 ЮАО,Серпуховская,16.0,3,MR Group,«Павелецкая сити»,Бизнес,квартира,9.0,9.0,Предчистовая,1.0,39.3,11.6,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,26023373,662172.3409669212
 СЗАО,Октябрьское поле,3.0,3,РГ-Девелопмент,«Октябрьское поле»,Комфорт,квартира,2.0,27.0,Неизвестно,2.0,49.5,24.7,10.5,"Панельный, монолитный","Подземная, гостевая",2024.0,15790500,319000.0
 НАО (Новомосковский),Ольховая,14.0,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,7.0,14.0,Чистовая,3.0,76.0,53.3,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,16988736,223536.0
 НАО (Новомосковский),Филатов Луг,4.0,3,,,,квартира,2.0,16.0,Без отделки,2.0,68.2,14.4,20.8,,,2022.0,18693032,274091.37829912023
 САО,Хорошёво,3.0,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,апартаменты,13.0,22.0,Без отделки,3.0,71.2,32.7,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,20865160,293050.0
 ЮЗАО,Академическая,4.0,3,TEKTA GROUP,«Eniteo (Энитео)»,Бизнес,квартира,30.0,42.0,Без отделки,2.0,42.1,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,21862530,519300.0
 СЗАО,Тушинская,5.0,3,"ООО ""СЗ ""Стадион ""Спартак""",«Клубный город на реке Primavera (Примавера)»,Премиум,квартира,2.0,22.0,Черновая,1.0,54.4,14.6,12.0,Монолитный,"Подземная, гостевая",2025.0,27085760,497900.0
 ЦАО,Октябрьская,1.0,3,GRAVION,«CULT (Апартаменты премиум-класса) (Культ)»,Премиум,Апартаменты-студия,2.0,9.0,Чистовая,2.0,32.7,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2023.0,34227313,1046706.8195718654
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,квартира,2.0,16.0,Без отделки,3.0,55.6,32.5,8.5,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,7652645,137637.5
 САО,Красный Балтиец,4.0,3,,«SOUL (Соул)»,,Студия,13.0,20.0,Предчистовая,1.0,24.4,13.3,2.3,,,2025.0,13236926,542496.9672131148
 ВАО,Бульвар Рокоссовского,4.0,3,3SGroup,«Талисман на Рокоссовского»,Бизнес,квартира,23.0,29.0,Без отделки,2.0,43.58,26.4,5.6,Монолитно-кирпичный,"Подземная, гостевая",2023.0,14599300,335000.0
 СВАО,Достоевская,4.0,3,MR Group,«Mod (Мод)»,Премиум,квартира,27.0,44.0,Предчистовая,1.0,40.96,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,18001920,439500.0
 ЮВАО,Люблино,3.0,2,Forma,«Portland (Портленд)»,Бизнес,квартира,2.0,29.0,Предчистовая,1.0,40.5,11.5,13.2,Монолитный,"Подземная, гостевая",2025.0,19230858,474836.0
 ЮЗАО,Ленинский проспект,13.0,3,Hutton Development,«Lunar (Лунар)»,Премиум,Апартаменты-студия,5.0,8.0,Чистовая,2.0,33.47,4.4,21.7,"Монолитно-кирпичный, монолитный",Подземная,2023.0,20000000,597550.0448162534
 ЦАО,Краснопресненская,3.0,3,Forma,«Republic (Репаблик)»,Премиум,Студия,4.0,26.0,Предчистовая,1.0,26.86,13.8,6.1,Монолитный,"Подземная, гостевая",2025.0,22615475,841975.9865971706
 СВАО,ВДНХ,4.0,3,Группа Эталон,«Серебряный фонтан»,Бизнес,квартира,14.0,19.0,Черновая,1.0,50.3,16.6,18.8,Монолитно-кирпичный,"Подземная, гостевая",2022.0,30280484,601997.6938369782
 ЮВАО,Пролетарская,4.0,3,Колди (Coldy),«N’ice Loft»,Бизнес,апартаменты,2.0,21.0,Без отделки,2.0,43.28,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2024.0,12334800,285000.0
 ЮАО,Шаболовская,4.0,3,СЗ Логос,«Logos (Логос)»,Премиум,Апартаменты-студия,8.0,13.0,Предчистовая,2.0,26.6,14.4,4.3,Монолитно-кирпичный,Подземная,2024.0,14604855,549054.6992481203
 СЗАО,Тестовская,4.0,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,6.0,6.0,Без отделки,1.0,31.1,13.6,10.2,"Монолитно-кирпичный, монолитный",Подземная,2023.0,15834210,509138.5852090032
 ЮАО,Пролетарская,4.0,3,TEKTA GROUP,«Era (Эра)»,Премиум,квартира,2.0,27.0,Без отделки,2.0,40.5,20.333629300776895,11.724697336561748,Монолитный,Подземная,2026.0,16714350,412700.0
 СВАО,Бабушкинская,5.0,3,ГК ФСК,«The Lake (Лейк)»,Бизнес,квартира,2.0,10.0,Предчистовая,1.0,43.9,13.9,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2025.0,20444230,465700.0
 ЮЗАО,Академическая,1.0,3,Level Group,«Level Академическая»,Бизнес,квартира,3.0,19.0,Без отделки,2.0,46.6,11.9,22.1,Монолитный,Гостевая,2025.0,24045409,515995.90128755366
 ЗАО,,5.0,0,Ташир,«Legacy (Легаси)»,Премиум,квартира,2.0,17.0,Неизвестно,2.0,45.0,27.6,5.5,Монолитный,"Подземная, гостевая",2024.0,24750000,550000.0
 СВАО,Рижская,3.0,3,СИТИ21,«Hill8 (Хилл8)»,Премиум,апартаменты,5.0,15.0,Неизвестно,1.0,61.7,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2021.0,26186161,424411.03727714746
 НАО (Новомосковский),Тропарёво,5.0,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,апартаменты,9.0,15.0,Чистовая,2.0,40.2,24.0,6.0,"Монолитно-кирпичный, монолитный",Гостевая,2025.0,10383488,258295.7213930348
 СЗАО,Спартак,4.0,3,Level Group,«Апартаментный комплекс Level Стрешнево (Левел Стрешнево)»,Бизнес,апартаменты,11.0,24.0,Без отделки,2.0,45.1,12.3,20.2,Монолитный,"Подземная, гостевая",2024.0,11506200,255126.38580931263
 ЮВАО,Дубровка,3.0,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,24.0,24.0,Без отделки,1.0,33.2,15.0,9.9,Монолитный,Подземная,2025.0,11568981,348463.2831325301
 ЮВАО,Люблино,3.0,2,Forma,«Portland (Портленд)»,Бизнес,Студия,11.0,22.0,Без отделки,1.0,25.4,12.6,4.8,Монолитный,"Подземная, гостевая",2025.0,11997283,472333.9763779528
 СЗАО,Тестовская,4.0,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,Студия,3.0,6.0,Без отделки,1.0,18.2,9.4,2.6,"Монолитно-кирпичный, монолитный",Подземная,2023.0,12306357,676173.4615384616
 ЮАО,Коломенская,2.0,3,Level Group,«Level Нагатинская (Левел Нагатинская)»,Бизнес,квартира,13.0,26.0,Без отделки,1.0,33.9,10.0,12.4,Монолитный,"Подземная, гостевая",2023.0,13419897,395867.16814159293
 ЮАО,Серпуховская,17.0,3,MR Group,«Павелецкая сити»,Бизнес,Студия,5.0,28.0,Предчистовая,1.0,23.8,2.6,16.2,Монолитный,"Подземная, гостевая",2024.0,14376937,604072.9831932773
 САО,Гражданская,10.0,3,РГ-Девелопмент,«Петровский парк II»,Бизнес,квартира,2.0,17.0,Без отделки,2.0,42.5,23.1,7.5,Монолитный,Подземная,2025.0,14790000,348000.0
 ЮАО,Коломенская,5.0,3,Группа Эталон,«Shagal (Шагал)»,Бизнес,квартира,3.0,14.0,Без отделки,1.0,40.3,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный",Подземная,2025.0,15176480,376587.5930521092
 ЗАО,Мичуринский проспект,16.0,2,ДОНСТРОЙ,«Событие»,Бизнес,Студия,13.0,26.0,Без отделки,1.0,28.3,10.0,9.1,Монолитный,"Подземная, гостевая",2024.0,15870640,560800.0
 ЮАО,Коломенская,5.0,3,TEKTA GROUP,«Квартал на набережной NOW»,Бизнес,квартира,5.0,20.0,Без отделки,1.0,36.9,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,20080980,544200.0
 СЗАО,Мнёвники,4.0,3,,«Wellton Gold (Веллтон Голд)»,,апартаменты,17.0,21.0,Без отделки,2.0,70.8,20.333629300776895,18.1,,,2022.0,20461200,289000.0
 ЮАО,Коломенская,2.0,3,Level Group,«Level Нагатинская (Левел Нагатинская)»,Бизнес,Студия,8.0,26.0,Без отделки,1.0,20.7,9.6,3.3,Монолитный,"Подземная, гостевая",2023.0,8845899,427338.115942029
 ЮВАО,Угрешская,2.0,3,Level Group,«Level Южнопортовая»,Комфорт,Студия,3.0,18.0,Без отделки,1.0,24.2,12.0,3.4,Монолитный,Подземная,2025.0,8996492,371755.86776859505
 САО,Селигерская,11.0,3,MR Group,«Селигер Сити»,Бизнес,квартира,32.0,39.0,Без отделки,1.0,35.21,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026.0,10966876,311470.4913376882
 ЗАО,Раменки,3.0,3,Level Group,«Level Мичуринский»,Бизнес,Студия,24.0,41.0,Неизвестно,1.0,22.8,12.0,3.1,Монолитный,"Подземная, гостевая",2025.0,11104743,487050.13157894736
 САО,Водный стадион,3.0,3,РГ-Девелопмент,«Михалковский»,Комфорт,квартира,8.0,15.0,Без отделки,1.0,37.1,16.2,11.4,Монолитный,Подземная,2024.0,11731020,316200.0
